"Question","Answer","Category","Group","Percentage"
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Race","Non-White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure who to contact","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Race","Non-White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","Other (please specify)","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Race","Non-White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","No answer","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","All Men",NA,42
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Age","18-34",NA
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Age","35-64",41
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Age","65+",39
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Race","White",42
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Race","Non-White",40
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Children","Has Children",37
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Children","No Children",48
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Sexual Orientation","Straight",41
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","A lot","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","All Men",NA,24
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Age","18-34",NA
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Age","35-64",24
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Age","65+",27
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Race","White",26
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Race","Non-White",19
"AMONG EMPLOYED: How much have you heard about the #MeToo movement?","Some","Children","Has Children",23
